epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8194,1.46349,2.01565,1.5779,0.68106,0.49315,0.5482,0.22381,2.05416,1.82804,2.0201,0.000236275,0.000236275,0.000236275
2,181.561,1.37828,1.60462,1.52605,0.62219,0.47508,0.47678,0.18333,2.29052,2.1274,2.24403,0.000464885,0.000464885,0.000464885
3,270.392,1.40499,1.60924,1.54363,0.47135,0.45392,0.38796,0.14942,2.32784,2.75723,2.37009,0.000684069,0.000684069,0.000684069
4,359.153,1.40877,1.60848,1.55376,0.68386,0.46074,0.50289,0.18874,2.25362,1.77889,2.16526,0.000671588,0.000671588,0.000671588
5,447.837,1.36627,1.53279,1.52731,0.70921,0.52747,0.5536,0.20997,2.29204,1.79406,2.25079,0.000657451,0.000657451,0.000657451
6,536.661,1.33964,1.46634,1.50804,0.72593,0.55013,0.59184,0.24139,2.13224,1.51711,2.0618,0.000643314,0.000643314,0.000643314
7,625.682,1.29171,1.36769,1.46676,0.7355,0.5456,0.59818,0.23351,2.1304,1.45967,2.08775,0.000629177,0.000629177,0.000629177
8,714.201,1.26403,1.31018,1.44395,0.70481,0.55858,0.58887,0.22251,2.26656,1.52171,2.19611,0.00061504,0.00061504,0.00061504
9,802.898,1.26326,1.29151,1.43663,0.75744,0.5494,0.61871,0.24827,2.14768,1.49337,2.05224,0.000600902,0.000600902,0.000600902
10,891.954,1.25287,1.27411,1.43221,0.80494,0.58769,0.65214,0.25375,2.17177,1.36462,2.0845,0.000586765,0.000586765,0.000586765
11,980.943,1.22441,1.20934,1.41425,0.80473,0.5887,0.66961,0.26691,2.13066,1.29588,2.03216,0.000572628,0.000572628,0.000572628
12,1069.76,1.21394,1.18598,1.40514,0.81623,0.60959,0.6962,0.28529,2.13216,1.20449,2.04133,0.000558491,0.000558491,0.000558491
13,1158.84,1.20423,1.15866,1.39689,0.80122,0.64839,0.69907,0.27867,2.17355,1.24656,2.0533,0.000544354,0.000544354,0.000544354
