epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5279,1.25961,1.85032,1.42322,0.76628,0.47686,0.5706,0.26476,1.93596,1.67814,1.86635,0.000236275,0.000236275,0.000236275
2,193.535,1.20863,1.40292,1.38365,0.69107,0.46559,0.51985,0.21555,2.08467,1.82126,2.04268,0.000464885,0.000464885,0.000464885
3,291.934,1.208,1.38963,1.38424,0.65356,0.48663,0.53743,0.24721,2.03049,1.77304,2.0696,0.000684069,0.000684069,0.000684069
4,390.543,1.20201,1.36023,1.37905,0.65835,0.4915,0.5111,0.24789,1.89906,1.9001,1.96389,0.000671588,0.000671588,0.000671588
5,489.178,1.17857,1.28543,1.36108,0.7852,0.49017,0.58561,0.27726,1.90185,1.53243,1.88678,0.000657451,0.000657451,0.000657451
6,587.61,1.13526,1.21271,1.3351,0.70387,0.59215,0.63317,0.30396,1.85508,1.36497,1.87729,0.000643314,0.000643314,0.000643314
7,686.319,1.10874,1.1482,1.31183,0.75304,0.55013,0.62598,0.3035,1.81798,1.38057,1.84666,0.000629177,0.000629177,0.000629177
8,784.562,1.08543,1.10948,1.29614,0.76499,0.61438,0.67079,0.33243,1.78561,1.31875,1.79587,0.00061504,0.00061504,0.00061504
9,883.3,1.05765,1.06081,1.27991,0.84474,0.58722,0.68667,0.33799,1.77169,1.16793,1.78294,0.000600902,0.000600902,0.000600902
10,981.955,1.0424,1.0135,1.26566,0.81707,0.61273,0.69777,0.33713,1.84826,1.17493,1.80797,0.000586765,0.000586765,0.000586765
11,1080.49,1.01218,0.97133,1.25044,0.84175,0.63636,0.72522,0.40385,1.62947,1.03288,1.64424,0.000572628,0.000572628,0.000572628
12,1178.93,0.99014,0.93267,1.23915,0.78821,0.61561,0.67937,0.38161,1.56935,1.17313,1.6257,0.000558491,0.000558491,0.000558491
13,1277.26,0.97779,0.89956,1.2242,0.82089,0.63624,0.71878,0.37385,1.68772,1.10345,1.71624,0.000544354,0.000544354,0.000544354
14,1375.78,0.96822,0.88157,1.21114,0.85082,0.67212,0.73263,0.41911,1.58772,0.96633,1.63348,0.000530216,0.000530216,0.000530216
15,1474.28,0.95097,0.8566,1.21084,0.85127,0.67656,0.75577,0.41821,1.58976,0.94759,1.63802,0.000516079,0.000516079,0.000516079
16,1572.97,0.93464,0.8332,1.20348,0.81727,0.69835,0.75038,0.44197,1.50044,0.91962,1.5643,0.000501942,0.000501942,0.000501942
17,1671.62,0.91637,0.81614,1.18829,0.86043,0.66586,0.74373,0.40635,1.59526,0.97508,1.70672,0.000487805,0.000487805,0.000487805
18,1769.87,0.90251,0.78611,1.17597,0.84266,0.69333,0.76289,0.44103,1.49302,0.93662,1.56899,0.000473668,0.000473668,0.000473668
19,1868.59,0.89013,0.76483,1.16497,0.84042,0.70524,0.76657,0.461,1.39076,0.88923,1.49284,0.00045953,0.00045953,0.00045953
20,1967.11,0.87303,0.7458,1.15646,0.8291,0.72598,0.77866,0.47755,1.35325,0.84427,1.4736,0.000445393,0.000445393,0.000445393
21,2065.82,0.86904,0.72588,1.14806,0.86284,0.70229,0.77316,0.47453,1.42108,0.86906,1.4983,0.000431256,0.000431256,0.000431256
22,2164.18,0.86013,0.71263,1.1428,0.85677,0.71905,0.7935,0.48175,1.41964,0.83153,1.50937,0.000417119,0.000417119,0.000417119
23,2263.02,0.84634,0.7036,1.1342,0.90164,0.70941,0.80051,0.4584,1.51006,0.86291,1.54423,0.000402982,0.000402982,0.000402982
24,2361.03,0.83563,0.69151,1.12869,0.894,0.72132,0.80412,0.50959,1.30542,0.80315,1.4161,0.000388844,0.000388844,0.000388844
25,2459.77,0.81421,0.66659,1.11541,0.87634,0.70557,0.78822,0.47415,1.36197,0.83968,1.47912,0.000374707,0.000374707,0.000374707
26,2557.78,0.81209,0.65233,1.11472,0.91554,0.73504,0.80859,0.50906,1.31661,0.77391,1.44716,0.00036057,0.00036057,0.00036057
27,2656.09,0.8008,0.63927,1.10378,0.88369,0.75158,0.81603,0.51018,1.32799,0.78776,1.43743,0.000346433,0.000346433,0.000346433
28,2754.8,0.7899,0.62546,1.0952,0.93491,0.72284,0.80848,0.49678,1.34992,0.78117,1.45002,0.000332296,0.000332296,0.000332296
29,2853.17,0.77954,0.61795,1.09189,0.92239,0.73035,0.82027,0.52342,1.2563,0.76201,1.40078,0.000318158,0.000318158,0.000318158
30,2951.68,0.76172,0.60282,1.08754,0.8857,0.74331,0.81259,0.52175,1.27668,0.75142,1.39222,0.000304021,0.000304021,0.000304021
31,3049.81,0.76684,0.59613,1.0858,0.87597,0.75878,0.82202,0.54435,1.20102,0.71799,1.37028,0.000289884,0.000289884,0.000289884
32,3148.2,0.75112,0.578,1.07095,0.90205,0.75079,0.81337,0.54259,1.20412,0.73229,1.35121,0.000275747,0.000275747,0.000275747
33,3246.58,0.73386,0.56216,1.06312,0.88791,0.74598,0.81838,0.52713,1.25801,0.71419,1.40928,0.00026161,0.00026161,0.00026161
34,3344.62,0.73671,0.56792,1.06432,0.92752,0.76154,0.84207,0.56262,1.15564,0.66781,1.32871,0.000247472,0.000247472,0.000247472
