epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8586,1.41667,3.48403,1.50494,0.91879,0.03659,0.05904,0.02793,1.79239,3.71401,1.76411,0.00020706,0.00020706,0.00020706
2,61.8126,1.32976,2.19813,1.44982,0.77375,0.21544,0.36074,0.15729,1.93955,2.62759,1.91395,0.000416354,0.000416354,0.000416354
3,90.1926,1.26715,1.78162,1.42667,0.60695,0.19059,0.34472,0.14298,2.06551,2.60735,2.11697,0.000620658,0.000620658,0.000620658
4,119.789,1.23317,1.61328,1.39661,0.52145,0.34482,0.34886,0.15764,1.99621,2.42761,1.98601,0.000689052,0.000689052,0.000689052
5,149.274,1.19674,1.53062,1.37538,0.46649,0.39717,0.37871,0.14876,2.07936,2.282,2.18794,0.000680736,0.000680736,0.000680736
6,178.245,1.17843,1.4446,1.34419,0.57113,0.39263,0.44324,0.17471,2.06958,2.14714,2.06406,0.00067242,0.00067242,0.00067242
7,207.668,1.15988,1.37497,1.32595,0.60951,0.40482,0.44647,0.18861,2.03531,2.27698,2.01653,0.000664104,0.000664104,0.000664104
8,237.478,1.13341,1.32338,1.31151,0.63375,0.48721,0.53833,0.27761,1.77343,1.67482,1.79936,0.000655788,0.000655788,0.000655788
9,266.548,1.12823,1.2959,1.30169,0.66478,0.50882,0.56022,0.26217,1.87352,1.62024,1.81768,0.000647472,0.000647472,0.000647472
10,295.512,1.10959,1.26935,1.2942,0.65071,0.5316,0.55947,0.23472,1.9706,1.58463,1.92524,0.000639156,0.000639156,0.000639156
11,324.641,1.0999,1.22037,1.27808,0.72322,0.49617,0.55255,0.25335,1.95147,1.72618,1.92729,0.00063084,0.00063084,0.00063084
12,354.08,1.08824,1.18909,1.26549,0.68953,0.50352,0.56878,0.27428,1.8273,1.50792,1.79764,0.000622524,0.000622524,0.000622524
13,383.072,1.07652,1.16373,1.25853,0.65058,0.51822,0.57161,0.29556,1.72992,1.57603,1.70982,0.000614208,0.000614208,0.000614208
14,412.31,1.05813,1.13338,1.24861,0.64411,0.55463,0.58183,0.27371,1.77893,1.54347,1.76264,0.000605892,0.000605892,0.000605892
15,441.993,1.05735,1.10653,1.24521,0.72634,0.52331,0.59468,0.2755,1.86678,1.65765,1.81911,0.000597576,0.000597576,0.000597576
16,471.411,1.04894,1.09922,1.244,0.70068,0.5479,0.59312,0.27561,1.84323,1.53698,1.79623,0.00058926,0.00058926,0.00058926
17,500.519,1.03295,1.07175,1.23119,0.73331,0.58123,0.62627,0.32094,1.7537,1.44365,1.72002,0.000580944,0.000580944,0.000580944
18,529.734,1.02885,1.05337,1.22571,0.77249,0.59918,0.66746,0.37112,1.57216,1.25287,1.5916,0.000572628,0.000572628,0.000572628
19,558.978,1.02118,1.03379,1.21772,0.72427,0.61371,0.65717,0.33877,1.6964,1.34644,1.69317,0.000564312,0.000564312,0.000564312
20,588.092,1.01717,1.02451,1.21329,0.74444,0.62055,0.67093,0.36438,1.65545,1.25026,1.66912,0.000555996,0.000555996,0.000555996
21,617.202,1.00833,1.01098,1.20929,0.7612,0.52038,0.6294,0.32979,1.69092,1.4617,1.70838,0.00054768,0.00054768,0.00054768
22,646.309,0.99765,0.98809,1.20284,0.75264,0.55628,0.63607,0.31467,1.80488,1.39758,1.80083,0.000539364,0.000539364,0.000539364
23,675.674,0.99989,0.98126,1.19916,0.80296,0.58548,0.66347,0.34554,1.68932,1.3222,1.67712,0.000531048,0.000531048,0.000531048
24,705.016,0.9872,0.96786,1.19164,0.76516,0.61509,0.66085,0.37143,1.56245,1.20702,1.59431,0.000522732,0.000522732,0.000522732
25,733.878,0.97432,0.94826,1.1881,0.77196,0.54499,0.62421,0.35068,1.64698,1.39279,1.67291,0.000514416,0.000514416,0.000514416
26,763.378,0.97533,0.94397,1.18563,0.74163,0.60808,0.66109,0.37101,1.54949,1.2974,1.59283,0.0005061,0.0005061,0.0005061
27,792.348,0.96406,0.92691,1.17736,0.79578,0.63906,0.68552,0.37573,1.60733,1.17859,1.60999,0.000497784,0.000497784,0.000497784
28,821.704,0.96591,0.91745,1.17364,0.80728,0.61587,0.68946,0.37016,1.6171,1.18584,1.63403,0.000489468,0.000489468,0.000489468
29,850.76,0.96121,0.9145,1.17575,0.80762,0.60542,0.69302,0.36593,1.6126,1.14717,1.62864,0.000481152,0.000481152,0.000481152
30,879.988,0.95644,0.90096,1.17253,0.77762,0.6437,0.69169,0.36807,1.67277,1.21536,1.72067,0.000472836,0.000472836,0.000472836
31,909.109,0.94509,0.89105,1.16619,0.84576,0.64604,0.7159,0.36687,1.75804,1.15385,1.73053,0.00046452,0.00046452,0.00046452
32,938.568,0.94794,0.88223,1.1647,0.82244,0.62151,0.69818,0.39621,1.58564,1.13103,1.60201,0.000456204,0.000456204,0.000456204
33,967.562,0.92469,0.86068,1.15565,0.81679,0.62682,0.69162,0.36414,1.70422,1.21151,1.72181,0.000447888,0.000447888,0.000447888
34,996.902,0.93525,0.85422,1.15481,0.80416,0.62249,0.69469,0.33776,1.85198,1.25363,1.81265,0.000439572,0.000439572,0.000439572
35,1026.28,0.94096,0.85909,1.16015,0.833,0.63081,0.71147,0.39867,1.52371,1.0714,1.55337,0.000431256,0.000431256,0.000431256
36,1055.43,0.91872,0.85258,1.15103,0.83463,0.63911,0.70767,0.3902,1.6324,1.09111,1.672,0.00042294,0.00042294,0.00042294
37,1084.53,0.91601,0.84238,1.14615,0.86347,0.616,0.70917,0.3822,1.61681,1.12854,1.62575,0.000414624,0.000414624,0.000414624
38,1113.69,0.91954,0.83202,1.14487,0.78081,0.63183,0.69416,0.39605,1.52315,1.12195,1.55175,0.000406308,0.000406308,0.000406308
39,1142.83,0.91001,0.81925,1.13551,0.80984,0.65656,0.7243,0.43721,1.45285,1.01562,1.49043,0.000397992,0.000397992,0.000397992
40,1172.09,0.90747,0.81092,1.13437,0.87703,0.65191,0.72458,0.40665,1.54965,1.06521,1.58193,0.000389676,0.000389676,0.000389676
41,1201.03,0.90171,0.81341,1.13387,0.87449,0.65421,0.73153,0.39592,1.65713,1.06769,1.63691,0.00038136,0.00038136,0.00038136
42,1230.12,0.90524,0.8105,1.13638,0.83546,0.67202,0.74345,0.37347,1.79024,1.04551,1.76154,0.000373044,0.000373044,0.000373044
43,1259.14,0.89332,0.8035,1.13486,0.85716,0.65424,0.74162,0.42689,1.52584,1.00186,1.54061,0.000364728,0.000364728,0.000364728
44,1288.53,0.88979,0.7936,1.12756,0.85644,0.68385,0.75091,0.4296,1.51949,1.00442,1.5369,0.000356412,0.000356412,0.000356412
45,1317.59,0.8818,0.78052,1.12686,0.83802,0.65603,0.72213,0.37504,1.72348,1.02682,1.71756,0.000348096,0.000348096,0.000348096
46,1346.67,0.87376,0.77236,1.12012,0.85387,0.68824,0.74529,0.43286,1.47171,0.95509,1.49383,0.00033978,0.00033978,0.00033978
47,1375.94,0.87741,0.76985,1.1169,0.87562,0.65416,0.73481,0.44348,1.42507,1.01862,1.48611,0.000331464,0.000331464,0.000331464
48,1405.1,0.87467,0.77197,1.11734,0.8062,0.70589,0.75208,0.43046,1.5188,0.96478,1.54061,0.000323148,0.000323148,0.000323148
49,1434.15,0.86185,0.76541,1.11234,0.87882,0.67843,0.76353,0.43916,1.49644,0.92763,1.52539,0.000314832,0.000314832,0.000314832
50,1463.64,0.86356,0.75807,1.10787,0.87943,0.6827,0.76309,0.42418,1.56653,0.93712,1.58998,0.000306516,0.000306516,0.000306516
51,1492.87,0.86529,0.74838,1.10797,0.9013,0.661,0.76257,0.42602,1.56179,0.9574,1.58055,0.0002982,0.0002982,0.0002982
52,1521.92,0.85717,0.74954,1.10704,0.90379,0.6651,0.75612,0.42907,1.51041,0.95417,1.53419,0.000289884,0.000289884,0.000289884
53,1551.26,0.84768,0.73969,1.1048,0.88698,0.68064,0.75814,0.44076,1.47448,0.9416,1.52707,0.000281568,0.000281568,0.000281568
54,1580.66,0.8514,0.74085,1.09987,0.88083,0.67107,0.75048,0.46,1.3989,0.94443,1.45737,0.000273252,0.000273252,0.000273252
55,1609.69,0.84563,0.73738,1.10254,0.84014,0.68525,0.76002,0.45179,1.44974,0.8984,1.50667,0.000264936,0.000264936,0.000264936
56,1638.96,0.84134,0.72961,1.10166,0.9089,0.67235,0.76987,0.4497,1.48714,0.93234,1.52626,0.00025662,0.00025662,0.00025662
57,1668.35,0.8324,0.71527,1.09219,0.8872,0.69476,0.77726,0.44299,1.50882,0.90614,1.54866,0.000248304,0.000248304,0.000248304
58,1697.39,0.82956,0.71936,1.09475,0.88683,0.67209,0.75904,0.46682,1.37774,0.94974,1.44489,0.000239988,0.000239988,0.000239988
59,1726.52,0.83256,0.71101,1.09022,0.86689,0.69106,0.76123,0.43994,1.52921,0.93075,1.56165,0.000231672,0.000231672,0.000231672
60,1755.59,0.83564,0.7241,1.09352,0.81781,0.69774,0.76193,0.4592,1.44439,0.91077,1.47494,0.000223356,0.000223356,0.000223356
61,1784.6,0.81923,0.70324,1.08373,0.88468,0.6871,0.77258,0.45538,1.43695,0.90793,1.47751,0.00021504,0.00021504,0.00021504
62,1813.76,0.82575,0.70958,1.08893,0.84739,0.70701,0.77459,0.44273,1.48687,0.91013,1.51776,0.000206724,0.000206724,0.000206724
63,1842.64,0.81701,0.70194,1.08602,0.88851,0.68546,0.77643,0.45294,1.45985,0.89303,1.5015,0.000198408,0.000198408,0.000198408
64,1871.53,0.81031,0.6911,1.07984,0.85839,0.71653,0.78986,0.47879,1.39298,0.82566,1.45882,0.000190092,0.000190092,0.000190092
65,1900.59,0.81309,0.68628,1.07716,0.90525,0.68586,0.78393,0.47328,1.40412,0.85801,1.4694,0.000181776,0.000181776,0.000181776
66,1929.77,0.81263,0.6912,1.07752,0.86861,0.71837,0.77632,0.4625,1.4304,0.87673,1.49712,0.00017346,0.00017346,0.00017346
67,1958.86,0.80485,0.67749,1.07374,0.87197,0.71188,0.79422,0.47381,1.39839,0.8432,1.45705,0.000165144,0.000165144,0.000165144
68,1987.87,0.79654,0.67943,1.06951,0.91763,0.68867,0.79316,0.47615,1.43087,0.82445,1.47197,0.000156828,0.000156828,0.000156828
69,2017.01,0.80214,0.67657,1.07226,0.87965,0.70079,0.79442,0.47407,1.38755,0.8533,1.4467,0.000148512,0.000148512,0.000148512
70,2046.14,0.80058,0.67884,1.07712,0.85581,0.72524,0.78548,0.47369,1.42177,0.83932,1.47676,0.000140196,0.000140196,0.000140196
71,2075.01,0.79369,0.67034,1.07544,0.88505,0.71357,0.78852,0.47884,1.41555,0.83157,1.48249,0.00013188,0.00013188,0.00013188
72,2103.95,0.79283,0.67023,1.06636,0.87144,0.70575,0.788,0.48847,1.36557,0.82745,1.43576,0.000123564,0.000123564,0.000123564
73,2133.03,0.78644,0.66726,1.06771,0.85865,0.7246,0.79152,0.48381,1.37717,0.8255,1.45,0.000115248,0.000115248,0.000115248
74,2162.15,0.78464,0.65888,1.06258,0.88829,0.71884,0.79925,0.48585,1.37698,0.81901,1.44851,0.000106932,0.000106932,0.000106932
75,2191.26,0.78902,0.65662,1.06046,0.91204,0.70193,0.79753,0.48922,1.37055,0.82606,1.44575,9.8616e-05,9.8616e-05,9.8616e-05
76,2222.92,0.80961,0.62516,1.076,0.86433,0.73053,0.78835,0.43551,1.53492,0.9006,1.61129,9.03e-05,9.03e-05,9.03e-05
77,2251.43,0.77657,0.57476,1.05629,0.89294,0.7197,0.79256,0.49378,1.36408,0.82039,1.45098,8.1984e-05,8.1984e-05,8.1984e-05
78,2279.39,0.77065,0.567,1.05686,0.90134,0.71588,0.79367,0.49257,1.33159,0.7966,1.42041,7.3668e-05,7.3668e-05,7.3668e-05
