epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.7408,1.37732,2.46568,1.48186,0.60568,0.47634,0.51026,0.23048,1.90953,1.98993,1.8132,0.00023375,0.00023375,0.00023375
2,95.5462,1.19353,1.42821,1.33916,0.54596,0.38129,0.38232,0.16337,2.13376,2.4032,2.19567,0.00046708,0.00046708,0.00046708
3,146.139,1.19114,1.38133,1.34572,0.6238,0.37452,0.42583,0.18213,2.15875,2.26015,2.11567,0.000695697,0.000695697,0.000695697
4,197.959,1.21477,1.36678,1.3466,0.54642,0.42326,0.42866,0.20528,1.99629,2.49326,1.9436,0.000692794,0.000692794,0.000692794
5,249.886,1.16994,1.27908,1.3285,0.55835,0.40493,0.4149,0.18702,2.08336,2.25286,2.12201,0.000685726,0.000685726,0.000685726
6,302.338,1.146,1.21663,1.30815,0.66408,0.47607,0.5353,0.26169,1.93412,1.71459,1.90857,0.000678657,0.000678657,0.000678657
7,354.483,1.11516,1.14256,1.28969,0.74574,0.50626,0.56503,0.2649,1.90954,1.80291,1.9367,0.000671588,0.000671588,0.000671588
8,406.377,1.09605,1.11034,1.27239,0.77834,0.52625,0.60808,0.29905,1.77244,1.5483,1.76441,0.00066452,0.00066452,0.00066452
9,458.387,1.07988,1.06845,1.26103,0.71468,0.56504,0.61267,0.28891,1.92614,1.72209,1.96559,0.000657451,0.000657451,0.000657451
10,510.496,1.05044,1.02945,1.24035,0.73527,0.5579,0.60476,0.30553,1.83789,1.57256,1.82177,0.000650383,0.000650383,0.000650383
11,563.063,1.04692,1.00325,1.23568,0.80889,0.57534,0.65784,0.3449,1.67549,1.30504,1.6856,0.000643314,0.000643314,0.000643314
12,614.947,1.02345,0.97064,1.22248,0.72378,0.54243,0.60142,0.29702,1.86327,1.72387,1.85421,0.000636245,0.000636245,0.000636245
13,667.005,1.00892,0.93686,1.20579,0.81003,0.62483,0.68658,0.35662,1.76964,1.21053,1.73952,0.000629177,0.000629177,0.000629177
14,719.273,0.99577,0.91102,1.19973,0.77837,0.66419,0.70952,0.35406,1.74202,1.14713,1.69925,0.000622108,0.000622108,0.000622108
15,771.848,0.98202,0.89064,1.1901,0.73049,0.61102,0.67288,0.36304,1.65021,1.27762,1.66956,0.00061504,0.00061504,0.00061504
16,823.949,0.9812,0.8827,1.1897,0.81228,0.6356,0.70061,0.39043,1.55242,1.16406,1.5896,0.000607971,0.000607971,0.000607971
17,876.025,0.95411,0.85784,1.17663,0.80924,0.64988,0.70724,0.40926,1.54799,1.29705,1.60028,0.000600902,0.000600902,0.000600902
18,928.144,0.95709,0.85157,1.1744,0.85002,0.65077,0.73145,0.41255,1.5054,1.0655,1.5524,0.000593834,0.000593834,0.000593834
19,980.168,0.94437,0.83318,1.16462,0.85907,0.64869,0.73512,0.42887,1.54001,1.20703,1.60772,0.000586765,0.000586765,0.000586765
20,1032.31,0.92772,0.8169,1.15696,0.83267,0.65621,0.74034,0.42819,1.49039,1.09051,1.5288,0.000579697,0.000579697,0.000579697
21,1084.32,0.92358,0.79476,1.15015,0.83938,0.66276,0.74823,0.42509,1.51048,1.05237,1.55282,0.000572628,0.000572628,0.000572628
22,1136.2,0.91345,0.78585,1.14457,0.84454,0.71167,0.77205,0.43602,1.50351,0.98775,1.55038,0.000565559,0.000565559,0.000565559
23,1187.82,0.91083,0.77766,1.14135,0.86876,0.67358,0.76147,0.4121,1.57013,0.9957,1.56489,0.000558491,0.000558491,0.000558491
24,1239.68,0.8987,0.76456,1.13661,0.85395,0.6786,0.75581,0.45085,1.40864,1.01003,1.50581,0.000551422,0.000551422,0.000551422
25,1291.8,0.89044,0.74901,1.12726,0.90959,0.68197,0.77487,0.44937,1.4435,0.96049,1.49463,0.000544354,0.000544354,0.000544354
26,1343.66,0.88589,0.75088,1.12699,0.8547,0.65937,0.74058,0.42738,1.50817,1.10039,1.55633,0.000537285,0.000537285,0.000537285
27,1395.71,0.86936,0.72461,1.11655,0.8535,0.71479,0.77584,0.45215,1.49139,0.92476,1.50673,0.000530216,0.000530216,0.000530216
28,1447.74,0.8636,0.71634,1.1058,0.84622,0.71845,0.78713,0.46916,1.39271,0.92871,1.46623,0.000523148,0.000523148,0.000523148
29,1499.65,0.85738,0.70618,1.10628,0.86173,0.72088,0.79016,0.48323,1.38877,0.86661,1.4575,0.000516079,0.000516079,0.000516079
30,1551.4,0.85569,0.70131,1.10824,0.8666,0.72054,0.78867,0.48546,1.38337,0.87688,1.45018,0.000509011,0.000509011,0.000509011
31,1603.45,0.8431,0.6903,1.10111,0.89267,0.7294,0.79587,0.46707,1.43349,0.89281,1.49884,0.000501942,0.000501942,0.000501942
32,1655.27,0.8407,0.68806,1.0994,0.90784,0.69629,0.78053,0.47053,1.42415,0.91921,1.45942,0.000494873,0.000494873,0.000494873
33,1707.58,0.83721,0.68329,1.0926,0.86924,0.72431,0.79348,0.49741,1.30937,0.8876,1.42173,0.000487805,0.000487805,0.000487805
